[GNSSFGOBridge] Using gnssfgo JSONL mode: /home/nvidia/Work/gnssfgo_ml_ws/osqa_input.jsonl -> /home/nvidia/Work/gnssfgo_ml_ws/osqa_output.jsonl
[GNSSFGODataReader] Started. Input: /home/nvidia/Work/gnssfgo_ml_ws/osqa_input.jsonl, Output: /home/nvidia/Work/gnssfgo_ml_ws/osqa_output.jsonl
[GNSSFGODataProvider] Polling /home/nvidia/Work/gnssfgo_ml_ws/osqa_input.jsonl for new epochs...
[OSQA] Started. Config: window=50, fusion=weighted, threshold=0.2
[OSQA Visualizer] updating epoch 1465021025.00, sats=32, mean_q=0.770
[OSQA Visualizer] updating epoch 1465021026.00, sats=32, mean_q=0.765
[OSQA Visualizer] updating epoch 1465021027.00, sats=31, mean_q=0.786
[OSQA Visualizer] updating epoch 1465021028.00, sats=31, mean_q=0.764
[OSQA Visualizer] updating epoch 1465021029.00, sats=31, mean_q=0.761
[OSQA Visualizer] updating epoch 1465021030.00, sats=31, mean_q=0.755
[OSQA Visualizer] updating epoch 1465021031.00, sats=31, mean_q=0.760
[OSQA Visualizer] updating epoch 1465021032.00, sats=31, mean_q=0.759
[OSQA Visualizer] updating epoch 1465021033.00, sats=31, mean_q=0.781
[OSQA Visualizer] updating epoch 1465021034.00, sats=32, mean_q=0.750
[OSQA Visualizer] updating epoch 1465021035.00, sats=32, mean_q=0.764
[OSQA Visualizer] updating epoch 1465021036.00, sats=33, mean_q=0.697
[OSQA Visualizer] updating epoch 1465021037.00, sats=33, mean_q=0.659
[OSQA Visualizer] updating epoch 1465021038.00, sats=32, mean_q=0.740
[OSQA Visualizer] updating epoch 1465021039.00, sats=32, mean_q=0.737
[OSQA Visualizer] updating epoch 1465021040.00, sats=32, mean_q=0.735
[OSQA Visualizer] updating epoch 1465021041.00, sats=33, mean_q=0.731
[OSQA Visualizer] updating epoch 1465021042.00, sats=32, mean_q=0.747
[OSQA Visualizer] updating epoch 1465021043.00, sats=32, mean_q=0.796
[OSQA Visualizer] updating epoch 1465021044.00, sats=32, mean_q=0.787
[OSQA Visualizer] updating epoch 1465021045.00, sats=32, mean_q=0.789
[OSQA Visualizer] updating epoch 1465021046.00, sats=33, mean_q=0.769
[OSQA Visualizer] updating epoch 1465021047.00, sats=33, mean_q=0.815
[OSQA Visualizer] updating epoch 1465021048.00, sats=33, mean_q=0.727
[OSQA Visualizer] updating epoch 1465021049.00, sats=33, mean_q=0.770
[OSQA Visualizer] updating epoch 1465021050.00, sats=32, mean_q=0.721
[OSQA Visualizer] updating epoch 1465021051.00, sats=32, mean_q=0.783
[OSQA Visualizer] updating epoch 1465021052.00, sats=33, mean_q=0.771
[OSQA Visualizer] updating epoch 1465021053.00, sats=33, mean_q=0.786
[OSQA Visualizer] updating epoch 1465021054.00, sats=33, mean_q=0.754
[OSQA Visualizer] updating epoch 1465021055.00, sats=32, mean_q=0.788
[OSQA Visualizer] updating epoch 1465021056.00, sats=32, mean_q=0.758
[OSQA Visualizer] updating epoch 1465021057.00, sats=32, mean_q=0.745
[OSQA Visualizer] updating epoch 1465021058.00, sats=32, mean_q=0.781
[OSQA Visualizer] updating epoch 1465021059.00, sats=31, mean_q=0.804
[OSQA Visualizer] updating epoch 1465021060.00, sats=31, mean_q=0.776
[OSQA Visualizer] updating epoch 1465021061.00, sats=30, mean_q=0.809
[OSQA Visualizer] updating epoch 1465021062.00, sats=32, mean_q=0.762
[OSQA Visualizer] updating epoch 1465021063.00, sats=32, mean_q=0.741
[OSQA Visualizer] updating epoch 1465021064.00, sats=34, mean_q=0.759
