timestamp,latitude,longitude,altitude,enu_x,enu_y,enu_z,cov_xx,cov_yy,cov_zz,trddcp_factor_count,opt_time
14650209940.039999,31.403187,121.263823,20.584037,-48.247203,-8.017272,3.537850,6.000000,6.000000,6.000000,0,20.442490
14650209950.039999,31.403185,121.263814,21.009727,-49.136064,-8.276515,3.963533,6.000000,6.000000,6.000000,0,21.906703
14650209960.039999,31.403184,121.263803,20.893562,-50.132470,-8.360699,3.847360,6.000000,6.000000,6.000000,0,16.963151
14650209970.039999,31.403182,121.263789,20.766264,-51.491537,-8.562949,3.720051,6.000000,6.000000,6.000000,0,11.508443
14650209980.039999,31.403179,121.263783,20.374745,-52.073338,-8.920380,3.328526,6.000000,6.000000,6.000000,0,13.140613
14650209990.039999,31.403181,121.263771,20.224887,-53.149561,-8.746746,3.178659,6.000000,6.000000,6.000000,0,17.708792
14650210000.039999,31.403178,121.263763,20.803512,-53.978451,-9.005696,3.757278,6.000000,6.000000,6.000000,0,14.006823
14650210010.039999,31.403179,121.263751,20.635287,-55.079460,-8.921783,3.589043,6.000000,6.000000,6.000000,0,16.059472
14650210020.039999,31.403176,121.263748,20.574317,-55.345062,-9.277998,3.528070,6.000000,6.000000,6.000000,0,8.900380
14650210030.039999,31.403175,121.263738,20.136412,-56.371625,-9.304069,3.090156,6.000000,6.000000,6.000000,0,13.886599
14650210040.039999,31.403173,121.263726,21.170256,-57.474297,-9.622266,4.123990,6.000000,6.000000,6.000000,0,20.886327
14650210050.039999,31.403170,121.263715,21.304131,-58.531139,-9.960526,4.257855,6.000000,6.000000,6.000000,0,18.824611
14650210060.039999,31.403168,121.263702,20.864178,-59.732629,-10.125709,3.817891,6.000000,6.000000,6.000000,0,20.344659
14650210070.039999,31.403167,121.263693,20.370621,-60.633869,-10.226753,3.324325,6.000000,6.000000,6.000000,0,19.597295
14650210080.039999,31.403161,121.263684,20.397786,-61.429010,-10.857371,3.351482,6.000000,6.000000,6.000000,0,17.175800
14650210090.039999,31.403161,121.263675,20.022091,-62.280539,-10.965365,2.975777,6.000000,6.000000,6.000000,0,6.620021
14650210100.039999,31.403162,121.263662,19.706230,-63.592963,-10.805857,2.659904,6.000000,6.000000,6.000000,0,13.842771
14650210110.039999,31.403156,121.263652,20.023677,-64.547735,-11.416049,2.977340,6.000000,6.000000,6.000000,0,6.742820
14650210120.039999,31.403155,121.263642,20.228571,-65.422237,-11.559298,3.182225,6.000000,6.000000,6.000000,0,7.659957
14650210130.039999,31.403153,121.263631,20.081239,-66.516094,-11.829935,3.034882,6.000000,6.000000,6.000000,0,6.593028
14650210140.039999,31.403151,121.263619,19.579232,-67.602203,-12.033646,2.532863,6.000000,6.000000,6.000000,0,17.012936
14650210150.039999,31.403148,121.263608,19.085230,-68.700452,-12.317506,2.038849,6.000000,6.000000,6.000000,0,16.813596
14650210160.039999,31.403145,121.263600,19.505912,-69.481103,-12.677383,2.459521,6.000000,6.000000,6.000000,0,19.212978
14650210170.039999,31.403143,121.263587,19.452843,-70.726979,-12.910245,2.406438,6.000000,6.000000,6.000000,0,10.613671
14650210180.039999,31.403143,121.263574,19.395674,-71.951001,-12.870139,2.349255,6.000000,6.000000,6.000000,0,25.105329
14650210190.039999,31.403139,121.263563,20.939560,-72.982324,-13.337848,3.893129,6.000000,6.000000,6.000000,0,17.567516
14650210200.039999,31.403141,121.263549,20.153429,-74.281589,-13.148882,3.106983,6.000000,6.000000,6.000000,0,23.421346
14650210210.039999,31.403138,121.263541,19.985525,-75.023313,-13.461328,2.939070,6.000000,6.000000,6.000000,0,11.933602
14650210220.039999,31.403135,121.263531,20.561738,-76.003497,-13.790493,3.515270,6.000000,6.000000,6.000000,0,6.682574
14650210230.039999,31.403133,121.263519,20.664564,-77.200172,-14.048878,3.618081,6.000000,6.000000,6.000000,0,11.099058
14650210240.039999,31.403131,121.263508,20.073214,-78.247829,-14.243630,3.026718,6.000000,6.000000,6.000000,0,22.560861
14650210250.039999,31.403126,121.263494,20.502806,-79.572283,-14.787009,3.456293,6.000000,6.000000,6.000000,0,14.315435
14650210260.039999,31.403126,121.263482,20.029952,-80.654127,-14.762687,2.983426,6.000000,6.000000,6.000000,0,8.836039
14650210270.039999,31.403125,121.263470,19.317666,-81.849665,-14.929348,2.271124,6.000000,6.000000,6.000000,0,18.132226
14650210280.039999,31.403123,121.263462,19.856166,-82.609110,-15.121353,2.809613,6.000000,6.000000,6.000000,0,16.146823
14650210290.039999,31.403117,121.263449,20.542355,-83.769638,-15.773347,3.495786,6.000000,6.000000,6.000000,0,19.449535
14650210300.039999,31.403113,121.263440,20.469922,-84.639516,-16.278378,3.423340,6.000000,6.000000,6.000000,0,8.044055
14650210310.039999,31.403109,121.263429,20.971411,-85.755645,-16.671673,3.924813,6.000000,6.000000,6.000000,0,16.123382
14650210320.039999,31.403108,121.263417,20.197530,-86.863400,-16.814894,3.150916,6.000000,6.000000,6.000000,0,20.282130
14650210330.039999,31.403106,121.263408,19.918269,-87.738935,-17.046271,2.871643,6.000000,6.000000,6.000000,0,10.240723
14650210340.039999,31.403106,121.263397,20.258673,-88.800245,-16.974679,3.212032,6.000000,6.000000,6.000000,0,13.244491
14650210350.039999,31.403103,121.263385,21.022547,-89.869429,-17.295301,3.975891,6.000000,6.000000,6.000000,0,10.161465
14650209490.039999,31.403272,121.264311,23.882977,-1.881624,1.389193,6.841977,0.000000,0.000000,0.000000,0,4.344348
14650209500.039999,31.403270,121.264312,23.878319,-1.771277,1.132623,6.837319,2.000000,2.000000,2.000000,0,5.531598
14650209510.039999,31.403269,121.264312,24.763487,-1.752062,1.090911,7.722487,2.828427,2.828427,2.828427,0,6.655137
14650209520.039999,31.403267,121.264314,24.687842,-1.542311,0.835840,7.646842,3.464102,3.464102,3.464102,0,7.700708
14650209530.039999,31.403265,121.264317,24.473447,-1.298106,0.550761,7.432446,4.000000,4.000000,4.000000,0,7.100672
14650209540.039999,31.403267,121.264305,23.949495,-2.421540,0.844232,6.908494,4.472136,4.472136,4.472136,0,10.432079
14650209550.039999,31.403268,121.264285,24.247517,-4.274274,0.897084,7.206515,4.898979,4.898979,4.898979,0,7.274148
14650209560.039999,31.403274,121.264254,24.763625,-7.259482,1.614583,7.722620,5.291503,5.291503,5.291503,0,21.312876
14650209570.039999,31.403265,121.264249,23.729487,-7.740877,0.625608,6.688482,5.656854,5.656854,5.656854,0,14.697850
14650209580.039999,31.403257,121.264236,22.800269,-9.018960,-0.314214,5.759262,6.000000,6.000000,6.000000,0,11.973515
14650209590.039999,31.403258,121.264216,23.131195,-10.896185,-0.214377,6.090186,6.000000,6.000000,6.000000,0,13.524743
14650209600.039999,31.403256,121.264195,22.194790,-12.860891,-0.357691,5.153777,6.000000,6.000000,6.000000,0,11.003966
14650209610.039999,31.403252,121.264183,22.225518,-13.981819,-0.848572,5.184503,6.000000,6.000000,6.000000,0,9.323194
14650209620.039999,31.403252,121.264162,22.624531,-16.038850,-0.810900,5.583511,6.000000,6.000000,6.000000,0,21.318620
14650209630.039999,31.403255,121.264144,22.793391,-17.741078,-0.532603,5.752366,6.000000,6.000000,6.000000,0,9.793738
